EventName,캐릭터/아이템 이름,대사,선택지,이미지 이름
게임시작1,.,SYSTEM: 전력 공급이 완료되었습니다.,,
,,시스템 작동. 전체 기능 이상 없음.\n메모리 검사 중… 외부 충격으로 인한 87%의 메모리 손상 확인.,,
,,손상된 메모리를 복구할 수 없습니다. 이대로 가동할까요?,예/아니오,
end,,,,
,,,,
게임시작2,.,-응답 없음-,,
,,"""손상된 메모리를 복구할 수 없습니다. 이대로 가동할까요?""",예/아니오,
end,,,,
,,,,
게임시작3,.,가동 준비 중…\n……\n준비 완료.,,
,,E 311-y호의 가동을 시작합니다.,,
,로봇,……,,A
,,여긴… 어디지…,,
,,……창고?,,
,,아무런 기억이 없어. 내가 어째서 갑자기 눈을 뜬 거지?,,
,도움말,[Space bar]로 특정 사물이나 NPC와 상호작용할 수 있습니다.,,B
,,아이템 획득은 [Z키]로@\n획득한 아이템은 [I키]로 인벤토리에서 확인할 수 있습니다.,,C
end,,,,
