EventName,캐릭터/아이템 이름,대사,선택지
배터리 넣기,.,작동을 멈춘 로봇에게 배터리를 장착시킬까?,응
end,,,
,,,
몰리 재가동,??,세상에! 이게 무슨 일이야!,
,,대체 얼마만에 맡는 풀내음… 아@ 이 신선한 공기! 시원한 빗방울까지!,
,,마지막으로 작동을 멈췄을 때에는 다시는 깨어나지 못 할 줄 알았는데!,
,,그러니까... 나한테 배터리를 끼워준 게 바로 너지@ 친구?\n진짜 진짜 고마워! 넌 나의 생명의 은인이야!,
,몰리,내 이름은 몰리! 이 구역의 도우미 로봇이지!,
,,너는? 너는 누구야?,
,로봇,어…... 나는…,
,,나도 잘 모르겠어. 아까 전의 벼락을 맞고 우연히 재가동을 하게 됐는데…,
,,지금은 그냥 누군가의 부탁으로 물건을 찾는 중이야.,
,몰리,물건을 찾고 있다고?,
,,어떤 물건인데? 친구@ 나도 생명의 은인인 너에게 꼭 도움이 되고 싶어!,
,로봇,…...,
,,사람 몸에 이식할 수 있는 기계 신체 부품을 찾고 있어.,
,,저 아래 지하실에 있는 사람과 거래를 했거든.\n내가 신체 부품을 가져다 주면@ 그 사람은 나에게 감정 소프트웨어를 주입시켜 주기로.,
,몰리,세상에! 그런 사정이 있었구나.,
,,그나저나 요즘 세상에도 감정이 없는 로봇이 존재한다니. 정말 놀라운 걸!,
,,하지만 걱정 마@ 친구. 이 몰리가 책임지고 널 도와줄게!,
,,마침 내가 지금 너에게 딱 맞는 선물을 줄 수 있을 것 같은 걸?,
,로봇,선물? 그게 뭔데?,
,몰리,하하@ 기대하시라!,
,,사실은 아끼는 잡동사니라서 꼭꼭 숨겨둔 건데… 생명의 은인을 위해서라면 이 정도는 별 거 아니지!,
end,,,
,,,
나무 쓰러짐,몰리,자@ 이 옆에 너를 위한 선물이 준비되어 있어. 어서 들어가 봐!,
end,,,
,,,
튜토리얼 - E키 사용,몰리,아- 아-,
,,친구@ 내 목소리 잘 들려?,
,,헤헤... 앞에 뭐가 좀 많지?\n미안미안. 너무 오래 잠들어 있었더니 청소하는 걸 깜빡했네.,
,,하지만 괜찮아@ 친구! 너한테 그 정도 장애물 쯤은 별 거 아니라구!,
,,사실 너랑 비슷한 종류의 로봇들을 지금까지 여러 번 봐왔거든. 지금부터 이 몰리의 지시만 따라오면 아무런 문제 없어!,
,,먼저 키보드의 [E키]를 누르고@ 화면에 나오는 버튼을 선택해 볼래?,
end,,,
,,,
튜토리얼 - 괴력 능력 사용,.,SYSTEM: 조작 기능 - 괴력 상태로 변경.,
,로봇,…조작 기능?,
,,이런 정보는 개발 일지에도 없었는데… 나한테 이런 기능이 존재하는지 몰랐어.,
,몰리,이제 드디어 네가 지니고 있는 진짜 힘과 마주하게 된 거야@ 친구!,
,,놀라긴 일러. 아직 조작 기능에는 종류가 3가지나 더 남아있는 걸!,
,,그치만 지금 막 눈을 뜬 상태에서 한 번에 전부 실행하기에는 과부하가 걸릴 지도 모르니까... 천천히 알아가는 걸로 하자구!,
,로봇,"…\n그런데 몰리@ ""괴력 상태""라는 건 정확히 무슨 기능이야?",
,몰리,말 그대로야. 거대한 팔을 휘두르면 괴력을 발휘할 수 있는 능력이지!,
,,이 주변은 공장이 가까워서 콘크리트 조각들이 많이 보일텐데@ 그 중에는 시간이 오래 흘러서 부식된 것들도 많을 거야.,
,,그런 약해진 조각들을 쾅! 하고 깨부수는 거지.,
,,자@ 그 상태로 눈 앞에 있는 부식된 콘크리트 조각을 향해서 [Space bar]를 눌러 봐!,
end,,,
,,,
튜토리얼 - 괴력 능력 사용 칭찬,몰리,잘했어!,
,,계속 그렇게 길을 뚫고 가다 보면@ 마지막에 내가 준비한 선물이 보일 거야.,
,,그럼 난 밖에서 친구의 귀환을 기다리고 있을게. 행운을 빌어@ 친구!,
end,,,
,,,
튜토리얼 진행,몰리,어@ 어. 스탑! 왜 그래@ 선물이 필요 없는 거야?,
,,부탁이야. 분명 너에게 도움이 될 테니까 나를 믿고 한 번만 따라와 줘@ 친구!,
end,,,
,,,
몰리 튜토리얼 끝,몰리,어때@ 친구! 선물은 마음에 들어?,
,,지하실에 있다는 그 친구도 마음에 들어했으면 좋겠는 걸.,
,로봇,응... 장담은 못 하겠지만.,
,몰리,응? 어째서?\n인공 장기를 가져다 달라고 한 건 지하실의 친구라고 하지 않았어?,
,로봇,그건 맞아. 하지만…,
,,왠지 나를 싫어하는 것 같은 느낌이 들었거든.,
,,어쩌면 외부에서 온 내가 의심스러워서 아직 적대시하고 있는 걸지도 몰라.,
,몰리,와우@ 신기한 걸! 감정이 없는데 그런 건 느낄 수 있구나?,
,로봇,…\n상대방의 반응 정보를 토대로 그 사람의 감정을 예측하는 것 정도는 가능해.,
,몰리,하하. 그래도 걱정 마! 넌 좋은 로봇이니까@ 분명 그 친구도 알아줄 거야.,
,로봇,정말 그렇게 생각해?,
,몰리,그럼! 당연하지.,
,,나는 안내 로봇이니까. 뭐든지 알고 있거든!,
,로봇,…알겠어. 의견 참고하도록 할게.,
,몰리,도움이 되었다면 다행이야!,
,,참@ 깜빡할 뻔 했네! 내 정신 좀 봐.\n사실은 너한테 줄 선물이 하나 더 남아있어.,
,,이 주변을 돌아다니다 보면@ 나랑 똑같이 생긴 로봇들을 몇 대 찾아볼 수 있을 거야.,
,,그 로봇들에게도 배터리를 넣어서 작동시켜 준다면@ 우리들을 거점 삼아 자유롭게 이동할 수 있어.,
,,나는 이 자리에서 움직일 수 없는 대신@ 특수한 기능이 탑재되어 있거든. 너의 조작 기능들처럼 말이야!,
