EventName,캐릭터/아이템 이름,대사,선택지
여행객 등장,여행객,앗@ 저기… 그… 안녕.,
,,미안한데@ 혹시 부탁 하나만 들어줄 수 있어…?,그래/다음에
end,,,
,,,
철로 퍼즐 다음에,여행객,아@ 그래…\n괜히 바쁜데 말 걸어서 미안……,
end,,,
,,,
철로 퍼즐 시작,여행객,정말? 너무 고마워!\n그러니까 그게@ 무슨 일이냐면…,
,,여기 내 반려동물들을 전부 데리고 철로 반대편으로 건너가야 하는데@ 조금 문제가 있어서…,
,누런 강아지,왕! 왕!,
,삼색 고양이,………냐~,
,흰 앵무새,삐익@ 삐이-,
,여행객,하아… 보기에는 아무 문제 없어보이지만@ 사실은 다들 서로 사이가 좀 안 좋아.,
,,누군가 옆에서 지켜보고 있지 않으면 자꾸만 개는 고양이를 공격하고@ 고양이는 새를 공격하거든…,
,,하필 철로라서@ 여럿을 동시에 데리고 건너가기에도 너무 위험할 것 같고…,
,,어떻게 해야 할 지 도저히 모르겠는데@ 혹시 로봇인 너라면 해결할 수 있지 않을까 해서…,
,,으… 제발 부탁이야! 이 은혜는 꼭 갚을게!,
end,,,
,,,
여행객,여행객,응? 왜 그래?\n아아@ 그거 말이구나…,
,,그러니까@\n누군가 보고 있지 않으면 개는 고양이를 공격하고@ 고양이는 새를 공격하고…,
,,또 철로는 위험하니까@ 한 번에 한 마리씩만 데리고 다녀줬으면 해.,
,,동물들을 전부 옮기고 나면 나한테 얘기 해줘. 부탁할게…,
end,,,
,,,
철로 퍼즐 완료,여행객,와! 정말 다 무사히 건네줬구나! 역시 너한테 부탁하길 잘한 것 같아… 고마워!,
,,아무도 다치지 않아서 정말 다행이다@ 휴우…,
,,…응?,
,,사람을 한 명 더 데려와서@ 각자 한 마리씩 안고 건너가도 되는 거 아니었냐고…?,
,,………\n그@ 그런 방법이… 생각도 못 하고 있었어……,
,,아하하@ 괜히 고생만 시킨 것 같네. 미안…,
,,어@ 어쨌든 도와줘서 고마워! 지금 당장은 줄 수 있는 게 이것밖에 없어서… 성의라고 생각하고 받아줘.,
,.,"""지폐""를 획득하였습니다.",
,여행객,그럼 안녕! 난 이제 기차 시간이 다 돼서 가볼게.,
end,,,
,,,
건너가기001,.,어떤 동물을 데리고 건너갈까?,새/아무도 데리고 가지 않는다
end,,,
,,,
건너가기010,.,어떤 동물을 데리고 건너갈까?,고양이/아무도 데리고 가지 않는다
end,,,
,,,
건너가기011,.,어떤 동물을 데리고 건너갈까?,고양이/새/아무도 데리고 가지 않는다
end,,,
,,,
건너가기100,.,어떤 동물을 데리고 건너갈까?,개/아무도 데리고 가지 않는다
end,,,
,,,
건너가기101,.,어떤 동물을 데리고 건너갈까?,개/새/아무도 데리고 가지 않는다
end,,,
,,,
건너가기110,.,어떤 동물을 데리고 건너갈까?,개/고양이/아무도 데리고 가지 않는다
end,,,
,,,
건너가기111,.,어떤 동물을 데리고 건너갈까?,개/고양이/새/아무도 데리고 가지 않는다
end,,,
