EventName,캐릭터/아이템 이름,대사,선택지
수다쟁이 부인 0,수다쟁이 부인,내 정신 좀 봐@ 세상에!,
,,또 지갑을 잃어버렸어… 아@ 대체 어디다 두고 온 거지?,
,,내 얘기 좀 들어보렴@ 꼬마야.\n내가 분명 오늘 아침@ 휴대폰 알람을 끌 때까지만 해도 지갑을 가지고 있었거든.,
,,요새 건망증이 심해져서 루틴을 만들어두려고 노력한단 말이야… 예를 들어@ 매일 밤 지갑을 휴대폰 아래에 두고 자는 버릇이라든가!,
,,오늘 아침에도 평소처럼 알람을 끄고@ 화장실에 갔지. 알람소리에 조금 놀라서 휴대폰과 지갑을 들고 들어가버렸지만…,
,,아@ 그런데 그 다음이 도저히 생각이 나질 않아! 내 지갑@ 대체 어디로 간 거지?,변기에 넣고 물을 내리신 거 아니에요?/분명 다시 들고 나오셨을 거예요./화장실 붙박이장 안에 넣어뒀다던가?
end,,,
,,,
수다쟁이 부인 1-1,수다쟁이 부인,뭐… 뭐라고?!,
,,변기라니… 오@ 말도 안 돼…\n정말 내가 그런 일을 저질렀다면 내 자신을 용서할 수 없을 거야!,
,,하지만…… 으음… 수압 약한 우리 집 변기가 지갑을 흘려보냈을 리도 없는데.,
,,다시 생각해 봐야겠어. 지갑을 대체 어디에 둔 거지…?,
end,,,
,,,
수다쟁이 부인 1-2,수다쟁이 부인,어머@ 맞아! 네 말을 들으니 이제야 생각이 나네.,
,,그래@ 아침부터 대체 무슨 생각이었던 건지... 하지만 기적적으로 아침 식사를 하다가 도중에 생각이 났어.,
,,식사를 하면서 뉴스를 확인하려는데 휴대폰이 없었거든. 그래서 부랴부랴 화장실에 가서@ 다시 휴대폰과 지갑을 꺼내왔지.,
,,식사를 마치고 옷을 갈아 입으러 방으로 들어간 것까지는 기억이 나.\n그런데@ 그 때 지갑을 들고 들어갔었던가…?,당연히 들고 들어가셨겠죠./식탁에 두고 가신 거 아니에요?/접시와 함께 식기세척기에 넣어버렸을 지도 몰라요.
end,,,
,,,
수다쟁이 부인 1-3,수다쟁이 부인,어머@ 얘! 내가 그랬을 리는 없어.,
,,우리 집 고양이가 항상 화장실 붙방이장 속에 있는 물건을 다 할퀴어 놓거든. 우리 찰스에 대해서 내가 얘기한 적 없던가?,
,,아무튼@ 무슨 일이 있어도 화장실 붙박이장에 중요한 물건을 넣지는 않는단다. 내가 아무리 건망증이 심하다고 해도 말이야!,
,,하아@ 지갑의 행방에 대해서는 다시 생각해 봐야겠는 걸…,
end,,,
,,,
수다쟁이 부인 2-1,수다쟁이 부인,오@ 꼬마야. 생각해 보니 그랬을 리는 없을 것 같구나.,
,,오늘 아침@ 식사 시간 내내 찰리가 내 무릎 위에 앉아있던 게 지금 막 기억이 났거든. 우리 집 고양이 말이야.,
,,그런데 요새 우리 찰리가 유독 살이 많이 찐 거 있지.\n정말… 아기 고양이일 때는 손바닥 위에 올라가는 사이즈였는데@ 이제는 양 손으로 겨우 들 수 있을 정도야.,
,,그런 녀석을 방에 데리고 갔는데@ 지갑까지 들 손이 남아있었을 리가 없잖니? 아유@ 참. 그래서 지갑은 대체 어디로 간 거람…,
end,,,
,,,
수다쟁이 부인 2-2,수다쟁이 부인,그래그래@ 식탁에 그대로 두고 갔었어. 옷 갈아입는데 지갑이 필요할 리가 없잖니?,
