EventName,캐릭터/아이템 이름,대사,선택지
언니,언니,"뭐야, 너?",
,,밥도 못 먹는 게 왜 근처에서 알짱거리고 있어? 저리 가.,
,,"…그나저나, 내 비상금은 대체 어디로 간 거지? 분명 내 방 액자 뒤에 잘 숨겨뒀는데. 하아……",
end,,,
,,,
오빠,오빠,"히히, 아까 숨겨 둔 돈으로 내일 신작 게임이나 사러 가야지~",
,,그렇게 쳐다봐도 넌 절대 안 시켜줄 거거든? 멍청한 깡통 로봇아.,
end,,,
,,,
엄마,엄마,………,
,,그래… 밥은 다 먹었고?,
,,………,
,,…왜 자꾸 여기 서있어. 가족들 식사 중인 거 안 보이니? 정신 사납게 자꾸 돌아다니지 마라.,
,,"그렇게 할 일이 없으면, 나가서 우리 맥스나 좀 찾아 보는 게 어떻겠니?",
,,"아까 사료 먹을 때까지만 해도 잘 있더니. 또 어디로 뛰쳐나간 건지, 원…",
,,"위험하니 애들을 함부로 내보낼 수도 없고, 이런 건 로봇인 네가 해야지. 그렇지?",
end,,,
,,,
거실 화분,.,화분이 부자연스럽게 파헤쳐져 있다. 확인해 볼까?,응
end,,,
,,,
파헤쳐진 화분,.,개껌이 화분 속에 파묻혀 있다. 아무래도 맥스가 비상금을 가져간 것 같다.,
end,,,
,,,
집 나온 맥스,맥스,왈왈!,
,.,맥스가 무언가를 깔고 앉아있는 것 같아 보인다.,
,,맥스를 집으로 돌려보낼까?,응
end,,,
,,,
맥스 아래 쪽지,.,맥스가 사라진 자리에 쪽지가 놓여 있다.,
,,"""보물은 두 번째 언덕 아래에 잠들어 있다.""",
end,,,
,,,
두번째 꼬부랑길,.,"오솔길 땅에 무언가 묻혀 있는 흔적이 보인다.
파헤쳐 볼까?",응
end,,,
,,,
지폐 획득,.,"""지폐""를 획득하였습니다.",
end,,,
